feature,mi,cramers_v,mi_norm,cv_norm,score_global
cem,0.1052971344542517,0.32697779038163693,0.8801541986729876,1.0,0.9161079390710913
factor_agresor_consume_droga,0.1160396578144709,0.15543860458921216,0.9699484470050495,0.47537970211306924,0.8215778235374553
prohibe_estudiar_trabajar_salir,0.11711671365488496,0.05403126266952714,0.9789513056778804,0.16524444246339715,0.7348392467135353
victima_peruana,0.11963487149525465,0.035642889850603265,1.0,0.1090070668377878,0.7327021200513363
ubigeo_codigo,0.07961282354607113,0.28963899624794465,0.6654650316503161,0.8858063292613491,0.731567420933626
ubigeo_nombre,0.07936718877950488,0.28963899624794465,0.6634118279021431,0.8858063292613491,0.7301301783099049
factor_agresor_consumo_alcohol,0.09574158486476003,0.17450982153415198,0.8002815873677571,0.5337054279144473,0.7203087395317642
actos_contra_el_pudor,0.11836915445985352,0.028723595898207444,0.9894201663814105,0.08784570922900382,0.7189478292356885
prohibe_recibir_visitas,0.11311241056107346,0.04921437153255652,0.9454802696516467,0.1505128879705109,0.7069900551473058
golpes_con_objetos_contundentes,0.1132334786584448,0.047333572021016734,0.9464922496526127,0.14476081683031333,0.7059728198059229
dist,0.07648670879198782,0.28166482113265856,0.6393345672212445,0.8614188162563253,0.7059598419317688
otra_vsex,0.11089501696648085,0.03602529667573655,0.926945593541926,0.11017658610295547,0.6819148913102347
abandono,0.10871374704087722,0.04360629454591067,0.908712866759667,0.13336164054144148,0.6761074988941993
factor_victima_discapacidad,0.10774611328023154,0.03904697415079775,0.9006246417417293,0.11941781766040897,0.6662625945173332
indiferencia,0.11173497953533795,0.010501583648478995,0.9339666448320626,0.0321171160775841,0.6634117862057191
negligencia,0.09705059251211923,0.08333267654089951,0.8112232771192367,0.25485729915673033,0.6443134837304847
sin_vinculo,0.09872385936725814,0.06456590241629148,0.8252097246677282,0.1974626543929251,0.6368856035852872
amenaza_quitar_hijos,0.10203855779537863,0.03936959296820669,0.8529165160630111,0.12040448656239279,0.6331629072128256
vigilancia_continua_persecucion,0.09443646496430014,0.08531871726752129,0.7893723943862471,0.2609312307357031,0.6308400452910838
desea_denunciar,0.09302764147863174,0.09391823157696959,0.7775963673127003,0.287231225910945,0.6304868248921738
amenaza_de_muerte,0.07796061188694714,0.17280874824254233,0.6516545795766535,0.5285030155743791,0.6147091103759712
vinculo_afectivo_ninguno,0.09162938123810882,0.07728513728226888,0.7659086359426844,0.23636203912218134,0.6070446568965335
vinculo_afectivo_otro,0.09941088675344556,0.02464223618865615,0.8309524264201573,0.07536363910189314,0.604275790224678
apoyo_material,0.09918036726747981,0.02444751222871295,0.8290255677786541,0.07476811253809831,0.6027483312064873
ahorcamiento,0.0855317650534726,0.104643833219293,0.7149400838104736,0.32003345883876827,0.596468096318962
prov,0.06329580908646859,0.24107427880770055,0.5290749118159853,0.7372802859984073,0.5915365240707119
victima_carne_extranjeria,0.0963766502221639,0.026413199602242043,0.8055899506356449,0.0807797972192958,0.5881469046107402
vinculo_afectivo_amigos,0.09666133151661094,0.01650222033706997,0.8079695352073416,0.05046893343370252,0.5807193546752498
punetazos,0.07932920201543614,0.11857567309232463,0.6630943053972583,0.36264136764129234,0.5729584240704685
otra_vpsi,0.07868704860230324,0.11151039451187213,0.657726694723991,0.3410335435373795,0.5627187493680076
