feature,perm_importance
violacion,0.07931256895722572
empujones,0.07740170060115314
punetazos,0.07471498245870963
otra_vpsi,0.06707622257713201
gritos_insultos,0.05369164603134217
otra_vfis,0.048294964654754836
bofetadas,0.04452569006980748
negligencia,0.04381634413490931
jalones_cabello,0.03713207742040477
puntapies_patadas,0.027221715600021585
latigazo,0.016365366817642706
otras_agresiones,0.01350215294886429
otra_vsex,0.011563031457534234
ahorcamiento,0.010213085221893384
golpes_con_palos,0.008544849392205863
golpes_con_objetos_contundentes,0.00674634421507414
desvalorizacion_humillacion,0.004473971889127681
vinculo_familiar,0.00361736146105629
indiferencia,0.0030269401508086213
sexo_agresor,0.0026509671284449623
actos_contra_el_pudor,0.0026490986893833446
edad_victima,0.0017387911526298334
vinculo_pareja,0.0012724351134418093
otras_amenazas,0.0012496513280946624
sin_vinculo,0.001069594913046738
vinculo_agresor_victima,0.0007729248336167208
sexo_victima,0.0005493834288516538
victima_gestando,0.000514172753210899
lugar_estudia,0.00045082594983299656
agresor_vive_casa_victima,0.0002472267426916937
estudia,0.00022827061221512382
edad_agresor,0.00016607745455095765
estado_agresor_u_a,0.00012441769329737026
tipo_gestion_estudia,6.894128711920633e-05
informante,6.813248911100948e-05
nivel_educativo_victima,5.18750384347344e-05
frecuencia_agrede,-0.0001755247718195537
primera_vez_agrede,-0.00019419773010420638
estado_agresor_g,-0.0002688720913652058
estado_victima_g,-0.00028822007377423314
