feature,mi
cem,0.1038503563645432
ubigeo_nombre,0.07968766001339689
ubigeo_codigo,0.07964657471812808
factor_agresor_consume_droga,0.06824028412002336
victima_peruana,0.06594908791267651
golpes_con_objetos_contundentes,0.06378240886303144
otro_seguro,0.06166085248752573
prohibe_estudiar_trabajar_salir,0.06096389087973586
prohibe_recibir_visitas,0.060800447241279976
otra_vsex,0.0575938386125312
abandono,0.05710888040961315
factor_victima_discapacidad,0.05652717701887977
factor_agresor_consumo_alcohol,0.0556123299453517
sin_vinculo,0.05485498032317282
vigilancia_continua_persecucion,0.05386075074252372
amenaza_quitar_hijos,0.05368706368296028
vinculo_afectivo_otro,0.05308761101193227
negligencia,0.05302194394845805
desea_denunciar,0.05290560107601783
victima_carne_extranjeria,0.05156463483236129
vinculo_afectivo_ninguno,0.05116378346340511
vinculo_afectivo_amigos,0.05030014970737051
ahorcamiento,0.04826641732124015
agresor_carne_extranjeria,0.0480559357389434
amenaza_de_muerte,0.04685565060689045
modalidades_vcm,0.04578337233115004
tratamiento_psicologico,0.04551477956413641
punetazos,0.04499788194384058
empujones,0.04491473092722287
otra_vpsi,0.04455774748435215
rompe_destruye_cosas,0.044293698145193794
agresor_cuenta_dni,0.044027637758672133
otras_agresiones,0.043415631407047295
informante,0.042154054008122666
trabaja_agresor,0.0420721473640413
interpuso_denuncia,0.04176510361362196
violacion,0.041152835459680404
desvalorizacion_humillacion,0.040942556132562924
antecedente_desaparicion,0.0405931092973022
donde_interpuso_denuncia,0.04021728654528567
vinculo_afectivo_vecinos,0.03996212003198063
sexo_agresor,0.03994289210166091
otras_amenazas,0.03981035977791114
agresor_peruano,0.039627702756575234
n_semanas,0.0391471247155728
n_meses,0.0379415349401413
essalud_seguro,0.03772120412508384
jalones_cabello,0.03730650107398237
situacion_agresor,0.03726728319650352
tipo_gestion_estudia,0.03680300751453225
lugar_estudia,0.03677029979838542
vinculo_familiar,0.03658775366368028
puntapies_patadas,0.03609746667676794
latigazo,0.03586683973594429
desea_patrocinio_legal,0.035828552150984905
agresor_area_residencia_domicilio,0.035512028509604665
bofetadas,0.034829647636474226
redes_fam_soc,0.03403226341042709
victima_pais_extranjero,0.03384199660229381
rechazo,0.0338262006008998
agresor_pais_extranjero,0.03368402923335001
ningun_seguro,0.03295290093080849
discr_genero,0.032889870639556174
sis_seguro,0.03287729079042134
golpes_con_palos,0.03260827649824849
atencion_medica,0.03244305939018277
victima_cuenta_dni,0.0322656477405332
actos_contra_el_pudor,0.03226066633090685
hijos_vivas_0_17,0.03204762933674754
hijos_vivas_18_mas,0.03167219686733347
apoyo_material,0.03150763579539695
botar_casa,0.031256073555711916
etnia_victima,0.03027639589438036
otra_vfis,0.030037054852311673
n_anos,0.029892254941348506
frecuencia_agrede,0.02956862794426507
dpto_domicilio,0.029403329968787473
indiferencia,0.0291626541010086
apoyo_instrumental,0.028294860195783977
apoyo_emocional,0.026917662130520936
apoyo_cognitivo,0.026649103047391876
lengua_materna_victima,0.026068564406165118
ocupacion_victima,0.025988113560898807
vinculo_pareja,0.02357707382032692
vinculo_agresor_victima,0.01971570730939476
estado_agresor_g,0.019465260893805736
gritos_insultos,0.01818348241467782
acude_sola,0.015336147032805947
nivel_educativo_agresor,0.014956188335229825
estudia,0.014821786987120777
hijos_vivos_18_mas,0.014195440503141032
hijos_vivos_0_17,0.013934640398007181
estado_agresor_u_a,0.012022581735255278
cuenta_medidas_proteccion,0.011965477905538702
trabaja_victima,0.011838426820610648
agresor_vive_casa_victima,0.011696135313364442
nivel_educativo_victima,0.01166252924305744
anio,0.011522117731525672
ocupacion_agresor,0.011217116557293405
estado_victima_g,0.011061995626647558
dist_domicilio,0.009104481433093836
condicion,0.008751251669954607
primera_vez_agrede,0.007926895486223273
cuenta_medidas_cautelares,0.0072921566221269
hijas_vivas_18_mas,0.0072203679978795066
discapacidad_agresor,0.006929735091326883
edad_victima,0.006653360638424255
area_residencia_domicilio,0.006509929303314621
sexo_victima,0.0064257624855417195
discapacidad_victima,0.006268627655144021
victima_gestando,0.005906692736340036
hijas_vivas_0_17,0.005792024897798065
prov_domicilio,0.005454238854819993
anio_mes,0.005435706265681128
vinculo_afectivo_familia,0.00449445316273378
caso_tentativa_de_feminicidio,0.003951944799406082
mes,0.003950184740512341
ningun_tratamiento,0.002132547986561484
estado_civil_victima,0.002051123601409355
centro_poblado_domicilio,0.0018671231575368985
edad_agresor,0.0018478459567754513
estado_victima_u_a,0.001585564629771774
victima_extranjera,0.0014027196273638243
agresor_extranjero,0.0012888224135820803
hijas_vivas,2.1872976940340294e-05
hijos_vivos,0.0
continua_recibiendo_tratamiento,0.0
