feature,mi,cramers_v,mi_norm,cv_norm,score_global
sin_vinculo,0.2503066558419462,0.4443759875273423,1.0,0.7257886491466633,0.9177365947439989
violacion,0.20218814244985306,0.6122663781664424,0.8077617503608169,1.0,0.8654332252525718
empujones,0.20989070990497027,0.48921024206466807,0.8385342738848454,0.7990153624468304,0.8266786004534408
gritos_insultos,0.1951131097793226,0.5665382906930221,0.7794962907519525,0.9253134107896591,0.8232414267632644
punetazos,0.20363742012226793,0.4802411716369763,0.8135517588907138,0.7843663946976107,0.8047961496327828
vinculo_agresor_victima,0.19148974435074484,0.45660189760593106,0.7650205852762431,0.7457569350342564,0.759241490203647
jalones_cabello,0.1422915700144698,0.37521570031811846,0.5684689827198142,0.612830809756007,0.5817775308306721
bofetadas,0.1386165984150871,0.3673011118706981,0.5537871054560182,0.599904102150206,0.5676222044642745
informante,0.138858166575206,0.33470271398915874,0.5547521942959706,0.5466619202437587,0.552325112080307
actos_contra_el_pudor,0.14671793773470254,0.2799433709357223,0.5861527622635261,0.4572247977654274,0.5474743729140965
desvalorizacion_humillacion,0.13429227178437997,0.3318172694879705,0.5365109902198428,0.5419491929014061,0.5381424510243118
puntapies_patadas,0.12390894486213799,0.340845934688291,0.4950285658419692,0.5566954953643286,0.513528644698677
otra_vpsi,0.12281073254209018,0.3152260761793573,0.49064109833195113,0.5148511945460187,0.4979041271961714
otra_vsex,0.13244570581967752,0.2550168754910503,0.5291337754250894,0.4165129502207042,0.49534752786377384
negligencia,0.12959332817707914,0.2596048272521703,0.5177382428812026,0.4240063418631779,0.48961867257579517
vinculo_pareja,0.12540466064784095,0.2797847963267242,0.5010040992558605,0.45696580165743766,0.48779260997633367
lugar_estudia,0.1315639087587861,0.23833791217759814,0.5256109084125229,0.3892715992201794,0.4847091156548198
otra_vfis,0.11526553793219074,0.32508079268679774,0.4604972949859315,0.5309466668091739,0.4816321065329042
tipo_gestion_estudia,0.12574556615992494,0.23444125890715023,0.502366050702726,0.38290728883273456,0.4665284221417285
frecuencia_agrede,0.1065842220396922,0.2802994504273322,0.4258145740518934,0.45780637386417744,0.43541211399557855
golpes_con_objetos_contundentes,0.12261220113069204,0.14690026479911622,0.4898479455860509,0.23992868143280918,0.4148721663400784
primera_vez_agrede,0.07489128629798736,0.3946610016328825,0.2991981417596692,0.6445903543075092,0.4028158055240212
ahorcamiento,0.10617089290443249,0.21397322993063778,0.4241632830230176,0.34947734770513555,0.40175750242765296
otras_agresiones,0.10573691993795453,0.2151836445250433,0.42242951783400084,0.35145428884965885,0.40113694913869824
vinculo_familiar,0.1023865988681949,0.23391404823175835,0.4090446517444824,0.38204620827336966,0.40094511870314853
indiferencia,0.11906526695243125,0.11774559989000416,0.4756775905616105,0.19231106604713064,0.3906676332072665
estudia,0.07470053628828932,0.3259737557468026,0.2984360764879471,0.5324051219715805,0.3686267901330371
estado_agresor_g,0.08203227843947936,0.2838975889349217,0.32772711601915155,0.4636831272445686,0.3685139193867767
trabaja_agresor,0.0995102088812021,0.1533420512704005,0.39755318749508956,0.2504498968726893,0.35342220030836946
estado_victima_g,0.075263786394411,0.2795118990159984,0.300686316715188,0.4565200850209255,0.34743644720690925
