feature,mi
sin_vinculo,0.1999951420170336
gritos_insultos,0.18180357948036852
vinculo_agresor_victima,0.17852857172085712
empujones,0.17432997783417004
violacion,0.17383394910473782
punetazos,0.17089972146615984
jalones_cabello,0.11289398778874671
bofetadas,0.10910228232737551
vinculo_pareja,0.10673126318791559
desvalorizacion_humillacion,0.10358777717408563
edad_victima,0.10194344331145921
informante,0.09932206912118735
puntapies_patadas,0.09460776821260741
lugar_estudia,0.09418799148431445
otra_vpsi,0.08936714481119279
tipo_gestion_estudia,0.08923974291740522
frecuencia_agrede,0.08921116235866933
otra_vfis,0.08888095487463032
negligencia,0.08646280566542308
otra_vsex,0.08027635613876694
vinculo_familiar,0.07981574132768765
estado_agresor_g,0.07784170499800558
golpes_con_objetos_contundentes,0.07051054234729026
primera_vez_agrede,0.06993813702774765
estado_victima_g,0.06979492452397462
ahorcamiento,0.06735648850524867
otras_agresiones,0.06676697684298372
indiferencia,0.06629465543478852
estudia,0.0645858672763846
victima_peruana,0.0625928809797347
trabaja_agresor,0.06110112870834894
prohibe_estudiar_trabajar_salir,0.06107458104502195
amenaza_quitar_hijos,0.05933343470130792
actos_contra_el_pudor,0.05929336659265583
abandono,0.05916406795884743
prohibe_recibir_visitas,0.058974342198872876
factor_victima_discapacidad,0.054617551549838605
factor_agresor_consume_droga,0.0543586535274212
latigazo,0.05416193636783384
sexo_agresor,0.05396419632476546
acude_sola,0.05349401063997461
agresor_peruano,0.052911158559054705
vinculo_afectivo_otro,0.05259318024280324
agresor_vive_casa_victima,0.051512501028810664
apoyo_material,0.05105732262657159
vinculo_afectivo_amigos,0.05041634334081713
vigilancia_continua_persecucion,0.050394715165341
otras_amenazas,0.04986134668737585
victima_carne_extranjeria,0.04917962164343459
factor_agresor_consumo_alcohol,0.048987454390117646
vinculo_afectivo_ninguno,0.04878817749028652
agresor_cuenta_dni,0.04846886122547178
n_semanas,0.04779386229026672
agresor_carne_extranjeria,0.04658655836138448
rompe_destruye_cosas,0.04652577859414175
desea_denunciar,0.04634431655696569
modalidades_vcm,0.0458193910107616
golpes_con_palos,0.04531886069597979
rechazo,0.04481170754705022
tratamiento_psicologico,0.044642909347014426
ocupacion_victima,0.04420685329132201
n_meses,0.04314062835649479
interpuso_denuncia,0.0431376071964118
botar_casa,0.042358817915148395
edad_agresor,0.04234607581771277
agresor_area_residencia_domicilio,0.04221479908200432
vinculo_afectivo_vecinos,0.040597968253671235
amenaza_de_muerte,0.04014006535987269
apoyo_emocional,0.03957449377641997
n_anos,0.03955096239761691
donde_interpuso_denuncia,0.039112252307660134
otro_seguro,0.03854457328280736
essalud_seguro,0.03835949312865794
nivel_educativo_victima,0.03773908739102061
antecedente_desaparicion,0.03739514366268537
hijos_vivos_0_17,0.0358697406360422
atencion_medica,0.035686449908650886
situacion_agresor,0.03481354217274646
victima_pais_extranjero,0.03440022885716232
discr_genero,0.033066908989217714
trabaja_victima,0.033028003293801955
sis_seguro,0.032536546433321156
hijos_vivas_18_mas,0.032265311843487465
hijos_vivas_0_17,0.032131593477011444
etnia_victima,0.031966364046334794
agresor_pais_extranjero,0.031546220425043625
hijas_vivas_0_17,0.031394045367624024
ningun_seguro,0.03117477291787596
redes_fam_soc,0.031045033841914593
victima_cuenta_dni,0.030546433919762528
nivel_educativo_agresor,0.029667389075349604
desea_patrocinio_legal,0.028859788417424426
apoyo_instrumental,0.02873425894052528
lengua_materna_victima,0.02840875404215959
hijos_vivos_18_mas,0.028390463653510167
ocupacion_agresor,0.02641013527492242
apoyo_cognitivo,0.026053243377000213
cem,0.023258488906052976
hijas_vivas_18_mas,0.022729930771888895
ubigeo_codigo,0.02258833540072125
ubigeo_nombre,0.02258378529966687
estado_civil_victima,0.018826302300945397
condicion,0.016988695183199676
agresor_extranjero,0.01595533706734731
estado_agresor_u_a,0.014191970157185319
dpto_domicilio,0.012991246568561765
victima_gestando,0.012359464875628223
cuenta_medidas_proteccion,0.012108962439181248
sexo_victima,0.011848793081081777
anio,0.010726060003506177
cuenta_medidas_cautelares,0.00998535528520339
hijos_vivos,0.009750076864029067
estado_victima_u_a,0.009231309487055972
hijas_vivas,0.009067837796617573
area_residencia_domicilio,0.00773511856833875
discapacidad_victima,0.0076488498259190685
discapacidad_agresor,0.006950225917721875
anio_mes,0.004843463086166233
mes,0.003884071242226117
vinculo_afectivo_familia,0.002986437743442316
dist_domicilio,0.0025831859398255386
ningun_tratamiento,0.002135066436698141
caso_tentativa_de_feminicidio,0.0018347589096778805
prov_domicilio,0.0017138816226827114
continua_recibiendo_tratamiento,0.001305736931108692
centro_poblado_domicilio,0.0002507779526548237
victima_extranjera,0.0
