variable,dtype_inicial,n_unicos,nulos,pct_nulos
frecuencia_agrede,object,5,192897,20.5903
etnia_victima,object,9,150498,16.0645
victima_gestando,object,2,138505,14.7844
vinculo_afectivo_familia,object,1,69829,7.4537
ningun_tratamiento,object,1,51420,5.4887
caso_tentativa_de_feminicidio,object,2,42996,4.5895
nivel_educativo_agresor,object,12,35201,3.7574
trabaja_agresor,object,2,25630,2.7358
agresor_cuenta_dni,object,2,22972,2.4521
edad_agresor,object,96,17682,1.8874
lengua_materna_victima,object,15,15440,1.6481
victima_cuenta_dni,object,2,14831,1.5831
agresor_extranjero,object,2,10627,1.1344
agresor_peruano,object,2,9867,1.0532
ubigeo_nombre,object,1882,99,0.0106
fecha_ingreso,object,2089,0,0.0
ubigeo_codigo,object,1883,0,0.0
cem,object,449,0,0.0
centro_poblado_domicilio,object,362,0,0.0
edad_victima,object,105,0,0.0
dist_domicilio,object,44,0,0.0
dpto_domicilio,object,26,0,0.0
forma_ingreso,object,24,0,0.0
prov_domicilio,object,21,0,0.0
nivel_educativo_victima,object,12,0,0.0
condicion,object,5,0,0.0
area_residencia_domicilio,object,4,0,0.0
estado_civil_victima,object,4,0,0.0
agresor_vive_casa_victima,object,4,0,0.0
estado_agresor_u_a,object,4,0,0.0
estado_victima_u_a,object,4,0,0.0
tipo_violencia,object,4,0,0.0
vinculo_agresor_victima,object,3,0,0.0
nivel_riesgo_victima,object,3,0,0.0
informante,object,2,0,0.0
victima_peruana,object,2,0,0.0
victima_extranjera,object,2,0,0.0
sexo_victima,object,2,0,0.0
estudia,object,2,0,0.0
trabaja_victima,object,2,0,0.0
sexo_agresor,object,2,0,0.0
depende_victima_feminicidio,object,2,0,0.0
primera_vez_agrede,object,2,0,0.0
continua_recibiendo_tratamiento,object,2,0,0.0
redes_fam_soc,object,2,0,0.0
interpuso_denuncia,object,2,0,0.0
desea_patrocinio_legal,object,2,0,0.0
