target,scenario,model,f1_macro,n_features,n_train,n_test
tipo_violencia,baseline,MLP,0.9629964500251922,22,96000,24000
tipo_violencia,baseline,RL,0.9620896681494308,22,96000,24000
tipo_violencia,baseline,RF,0.9615445278603829,22,96000,24000
