feature,rf_importance
nivel_riesgo_victima_orig,0.7417660127229007
tipo_violencia_orig,0.029914439660850802
factor_agresor_consumo_alcohol,0.0136141754067255
ubigeo_nombre,0.011668094256493934
ubigeo_codigo,0.010956414341193741
amenaza_de_muerte,0.010786357656539207
cem,0.010373249100293191
violacion,0.007841811214672072
factor_agresor_consume_droga,0.007511810276405124
dpto_domicilio,0.006451350721003838
edad_victima,0.005771700821382332
anio_mes,0.005502068651561018
estado_agresor_g,0.005473700871597532
frecuencia_agrede,0.005383470829930712
dist_domicilio,0.0044356034502845785
edad_agresor,0.004351116774011323
desvalorizacion_humillacion,0.004214440682031291
punetazos,0.003921000216161364
prov_domicilio,0.003900687574170814
vinculo_familiar,0.00383421017637608
desea_patrocinio_legal,0.0034530017298348456
estado_victima_g,0.0034292988188077615
desea_denunciar,0.0032934675098667365
vinculo_agresor_victima,0.003115709594013093
mes,0.0030330104328479958
otra_vpsi,0.0029953236764685416
ocupacion_agresor,0.002872903527210794
condicion,0.0028268405874398907
primera_vez_agrede,0.002765761688772481
nivel_educativo_victima,0.002617580629326698
gritos_insultos,0.0025596909361194245
nivel_educativo_agresor,0.0023691632530419603
empujones,0.002180802348788813
anio,0.00213281962844494
vinculo_pareja,0.0021143897188667785
cuenta_medidas_proteccion,0.0020779332380073544
ahorcamiento,0.002032300492137497
negligencia,0.0019834410792194546
situacion_agresor,0.0019425238625302107
estado_agresor_u_a,0.0017492262162644438
acude_sola,0.0017153273196812181
sin_vinculo,0.0016674776222342044
ocupacion_victima,0.0016499487626664368
informante,0.0016442936774845277
vinculo_afectivo_familia,0.0016055161062493973
centro_poblado_domicilio,0.0016011603945612215
modalidades_vcm,0.0014524964685776352
agresor_vive_casa_victima,0.0014294376722471147
sexo_agresor,0.001366795782618741
otras_amenazas,0.001338496825019333
redes_fam_soc,0.0012583481294041327
vigilancia_continua_persecucion,0.0012391134312471548
hijos_vivos_0_17,0.0012068825918248164
jalones_cabello,0.001173457305161434
cuenta_medidas_cautelares,0.001142651650923805
etnia_victima,0.0011263553367422262
hijos_vivos_18_mas,0.0011041851630549519
lugar_estudia,0.0011000362308873138
puntapies_patadas,0.001080980932370417
agresor_area_residencia_domicilio,0.00105455475903361
tipo_gestion_estudia,0.0010468265963409558
victima_gestando,0.0010300462056964358
interpuso_denuncia,0.0010082708466620674
area_residencia_domicilio,0.0009284288167462163
hijas_vivas_0_17,0.0008725885264998151
vinculo_afectivo_ninguno,0.0008694271770620626
n_anos,0.0008286915315615265
antecedente_desaparicion,0.0008282092730983528
sis_seguro,0.0007672437345051541
trabaja_agresor,0.0007212525143681295
hijas_vivas_18_mas,0.0007099063407694475
trabaja_victima,0.000700730856850814
sexo_victima,0.0006934501269580438
essalud_seguro,0.0005773259682786815
lengua_materna_victima,0.0005111870358966734
estudia,0.0005079962515714173
estado_civil_victima,0.0004994368111664859
bofetadas,0.0004936378148264313
rechazo,0.0004193263815620077
n_meses,0.0003977616114322562
rompe_destruye_cosas,0.0003967268718355657
botar_casa,0.0003960574111225249
otra_vfis,0.0003951263980991655
apoyo_instrumental,0.00037511763513541546
hijos_vivas_0_17,0.00037013571746649817
hijas_vivas,0.00035073006854011656
apoyo_material,0.0003444673125398886
apoyo_cognitivo,0.0003426106834964117
hijos_vivos,0.0003354418723308175
hijos_vivas_18_mas,0.0003335020183226186
indiferencia,0.00032349229221992993
caso_tentativa_de_feminicidio,0.0003047827647444848
donde_interpuso_denuncia,0.000285149950644129
discapacidad_victima,0.00027602266714550253
ningun_tratamiento,0.0002678136177095321
ningun_seguro,0.0002674415732149901
apoyo_emocional,0.00023366861295849356
actos_contra_el_pudor,0.00023136606212712855
abandono,0.00022412033681064688
n_semanas,0.00021278215541383765
estado_victima_u_a,0.00020568961494591627
discapacidad_agresor,0.00019992388139890773
amenaza_quitar_hijos,0.00019473055658585583
tratamiento_psicologico,0.00017978140991832263
vinculo_afectivo_amigos,0.00017712622836129135
latigazo,0.00016301433666666884
atencion_medica,0.0001482727806703773
otras_agresiones,0.00012973449212917305
vinculo_afectivo_vecinos,0.00012515236331595223
golpes_con_objetos_contundentes,0.00011524120422001799
prohibe_recibir_visitas,0.00011489078766736168
prohibe_estudiar_trabajar_salir,0.00011047265849394554
agresor_extranjero,0.00010995427203821403
otra_vsex,0.00010788879473551201
agresor_cuenta_dni,0.00010540199865822583
factor_victima_discapacidad,9.853419296109646e-05
agresor_peruano,9.501098733943954e-05
continua_recibiendo_tratamiento,9.460621244560681e-05
golpes_con_palos,8.487219198554021e-05
discr_genero,8.255070088699555e-05
victima_pais_extranjero,6.99972864625208e-05
agresor_pais_extranjero,6.463205087248239e-05
agresor_carne_extranjeria,5.888584651826477e-05
victima_carne_extranjeria,5.7817146164505276e-05
victima_extranjera,5.6115903110212855e-05
vinculo_afectivo_otro,5.5574577282546846e-05
victima_peruana,5.180087617722456e-05
otro_seguro,4.7226216459847827e-05
victima_cuenta_dni,4.237945321279643e-05
