nivel_riesgo_victima_lbl,Fisica,Psicologica,Sexual
Alto,46.1372857165766,27.492823810516526,26.369890472906874
Bajo,25.769791598811427,66.4268140524235,7.803394348765076
Medio,39.6759786465836,44.26204436434732,16.061976989069084
